iter	Passed	Remaining
0	149	149468
1	151	75744
2	153	51100
3	156	39043
4	159	31690
5	162	26858
6	164	23341
7	166	20652
8	168	18593
9	171	16930
10	172	15538
11	174	14388
12	176	13416
13	178	12562
14	179	11810
15	181	11155
16	183	10603
17	185	10115
18	187	9665
19	189	9282
20	191	8924
21	193	8593
22	194	8281
23	196	8004
24	198	7759
25	201	7536
26	203	7325
27	205	7121
28	207	6932
29	208	6755
30	210	6586
31	212	6434
32	215	6303
33	217	6174
34	219	6048
35	221	5917
36	222	5790
37	224	5674
38	226	5573
39	228	5481
40	230	5386
41	231	5290
42	233	5198
43	235	5117
44	237	5034
45	239	4958
46	241	4891
47	243	4823
48	245	4764
49	246	4682
50	247	4603
51	249	4543
52	250	4482
53	252	4427
54	254	4373
55	256	4326
56	258	4283
57	261	4245
58	262	4184
59	263	4127
60	265	4084
61	267	4050
62	270	4030
63	273	3995
64	275	3960
65	276	3919
66	278	3878
67	280	3842
68	281	3803
69	283	3768
70	285	3741
71	288	3712
72	289	3680
73	291	3649
74	293	3617
75	295	3588
76	297	3562
77	299	3535
78	301	3512
79	302	3484
80	304	3453
81	306	3425
82	306	3389
83	308	3362
84	309	3331
85	310	3298
86	311	3271
87	313	3248
88	315	3228
89	317	3208
90	319	3187
91	320	3166
92	322	3146
93	323	3121
94	324	3095
95	326	3072
96	327	3049
97	329	3028
98	330	3008
99	332	2994
100	334	2973
101	335	2954
102	336	2934
103	338	2913
104	339	2891
105	340	2870
106	341	2853
107	343	2833
108	344	2818
109	346	2802
110	347	2785
111	349	2768
112	350	2752
113	352	2736
114	353	2720
115	354	2704
116	355	2686
117	357	2670
118	359	2658
119	360	2646
120	362	2631
121	363	2614
122	364	2598
123	365	2582
124	366	2566
125	367	2550
126	368	2534
127	369	2519
128	370	2504
129	372	2489
130	373	2474
131	374	2462
132	375	2450
133	377	2437
134	378	2425
135	379	2412
136	381	2401
137	382	2389
138	383	2376
139	384	2363
140	385	2350
141	386	2335
142	387	2322
143	388	2309
144	389	2298
145	390	2285
146	391	2272
147	392	2260
148	393	2247
149	394	2234
150	395	2221
151	396	2210
152	397	2197
153	397	2185
154	398	2173
155	399	2161
156	400	2149
157	401	2138
158	402	2126
159	402	2115
160	403	2102
161	404	2092
162	405	2082
163	406	2074
164	407	2064
165	408	2053
166	409	2042
167	410	2032
168	411	2021
169	412	2012
170	413	2002
171	413	1992
172	414	1982
173	415	1973
174	416	1963
175	417	1954
176	418	1945
177	419	1936
178	420	1929
179	422	1922
180	423	1915
181	424	1906
182	425	1898
183	426	1889
184	427	1881
185	427	1872
186	428	1864
187	429	1855
188	430	1847
189	431	1838
190	432	1831
191	433	1823
192	434	1815
193	435	1808
194	436	1802
195	437	1795
196	438	1788
197	440	1783
198	441	1776
199	442	1769
200	443	1762
201	444	1754
202	444	1747
203	445	1739
204	446	1731
205	447	1724
206	448	1717
207	449	1711
208	450	1706
209	451	1699
210	452	1693
211	454	1687
212	454	1681
213	455	1674
214	456	1667
215	457	1660
216	458	1653
217	459	1647
218	459	1640
219	460	1633
220	461	1626
221	462	1620
222	463	1614
223	464	1607
224	464	1601
225	465	1595
226	466	1589
227	467	1582
228	468	1577
229	469	1571
230	470	1565
231	471	1559
232	471	1553
233	472	1547
234	473	1541
235	474	1535
236	474	1528
237	475	1522
238	476	1516
239	477	1510
240	477	1504
241	478	1499
242	479	1492
243	479	1487
244	480	1481
245	481	1477
246	482	1471
247	483	1466
248	484	1460
249	485	1455
250	485	1450
251	486	1444
252	487	1439
253	488	1433
254	488	1428
255	489	1422
256	490	1417
257	491	1412
258	491	1407
259	492	1402
260	493	1397
261	494	1392
262	495	1387
263	496	1383
264	497	1378
265	497	1373
266	498	1369
267	499	1364
268	500	1359
269	501	1356
270	502	1351
271	503	1346
272	503	1342
273	504	1337
274	505	1332
275	506	1328
276	507	1323
277	507	1318
278	508	1313
279	508	1308
280	509	1303
281	510	1299
282	511	1295
283	512	1290
284	512	1286
285	513	1282
286	514	1278
287	515	1273
288	515	1268
289	516	1264
290	517	1259
291	517	1255
292	518	1251
293	519	1247
294	520	1243
295	521	1239
296	521	1235
297	522	1231
298	523	1227
299	524	1223
300	524	1219
301	525	1215
302	526	1211
303	527	1207
304	528	1203
305	529	1200
306	529	1196
307	530	1192
308	531	1188
309	532	1184
310	532	1180
311	533	1177
312	534	1173
313	535	1170
314	536	1166
315	537	1162
316	537	1159
317	538	1155
318	539	1151
319	539	1147
320	540	1143
321	541	1139
322	541	1135
323	542	1132
324	543	1128
325	544	1125
326	545	1121
327	545	1118
328	546	1114
329	547	1111
330	548	1108
331	549	1104
332	549	1101
333	550	1098
334	551	1094
335	552	1091
336	552	1087
337	553	1083
338	554	1080
339	554	1076
340	555	1073
341	556	1069
342	556	1066
343	557	1063
344	558	1060
345	559	1057
346	560	1054
347	560	1050
348	561	1047
349	562	1043
350	562	1040
351	563	1037
352	564	1033
353	564	1030
354	565	1027
355	565	1023
356	566	1020
357	567	1017
358	567	1013
359	568	1010
360	569	1007
361	569	1004
362	570	1000
363	570	997
364	571	994
365	572	991
366	573	988
367	573	985
368	574	982
369	575	979
370	575	976
371	576	973
372	577	970
373	577	967
374	578	964
375	579	961
376	579	958
377	580	955
378	581	951
379	581	948
380	582	945
381	582	942
382	583	939
383	584	936
384	584	933
385	585	930
386	585	927
387	586	924
388	587	922
389	588	920
390	589	917
391	589	915
392	590	912
393	591	909
394	591	906
395	592	903
396	593	901
397	593	898
398	594	895
399	595	892
400	595	889
401	596	887
402	596	884
403	597	881
404	598	878
405	599	876
406	599	873
407	600	871
408	601	869
409	602	866
410	603	864
411	603	861
412	604	859
413	605	856
414	606	854
415	606	851
416	607	849
417	608	846
418	608	843
419	609	841
420	609	838
421	610	835
422	610	833
423	611	830
424	612	828
425	612	825
426	613	823
427	614	820
428	614	818
429	615	815
430	616	813
431	616	811
432	617	808
433	618	806
434	619	804
435	619	801
436	620	799
437	621	797
438	622	795
439	622	792
440	623	790
441	624	787
442	624	785
443	625	783
444	625	780
445	626	778
446	627	775
447	627	773
448	628	771
449	629	768
450	629	766
451	630	764
452	630	761
453	631	759
454	632	757
455	632	755
456	633	753
457	634	751
458	635	749
459	636	747
460	637	745
461	637	742
462	638	740
463	639	738
464	639	736
465	640	733
466	641	731
467	641	729
468	642	727
469	643	725
470	643	722
471	644	720
472	644	718
473	645	716
474	645	713
475	646	711
476	647	709
477	647	707
478	648	705
479	649	703
480	650	701
481	651	700
482	652	698
483	652	696
484	653	693
485	654	691
486	654	689
487	655	687
488	656	685
489	656	683
490	657	681
491	657	679
492	658	677
493	659	675
494	659	673
495	660	671
496	661	669
497	661	667
498	662	665
499	663	663
500	664	661
501	665	659
502	665	657
503	666	655
504	667	653
505	667	651
506	668	649
507	668	647
508	669	645
509	670	644
510	670	642
511	671	640
512	672	638
513	672	636
514	673	634
515	674	632
516	674	630
517	675	628
518	675	626
519	676	624
520	677	622
521	677	620
522	678	618
523	679	616
524	679	615
525	680	613
526	681	611
527	682	609
528	682	607
529	683	605
530	683	604
531	684	602
532	685	600
533	685	598
534	686	596
535	686	594
536	687	592
537	688	590
538	688	589
539	689	587
540	690	585
541	690	583
542	691	582
543	692	580
544	692	578
545	693	576
546	694	575
547	695	573
548	696	571
549	696	570
550	697	568
551	698	566
552	698	564
553	699	563
554	700	561
555	700	559
556	701	557
557	701	556
558	702	554
559	703	552
560	703	550
561	704	549
562	705	547
563	706	545
564	706	544
565	707	542
566	708	540
567	709	539
568	710	537
569	710	536
570	711	534
571	712	533
572	713	531
573	713	529
574	714	528
575	715	526
576	716	524
577	716	523
578	717	521
579	718	520
580	718	518
581	719	516
582	720	515
583	720	513
584	721	511
585	722	510
586	722	508
587	723	506
588	724	505
589	725	503
590	725	502
591	726	500
592	727	499
593	727	497
594	728	495
595	729	494
596	729	492
597	730	490
598	730	489
599	731	487
600	732	486
601	732	484
602	733	482
603	734	481
604	735	479
605	735	478
606	736	476
607	737	475
608	738	473
609	738	472
610	739	470
611	740	469
612	741	468
613	742	466
614	743	465
615	744	464
616	745	462
617	746	461
618	746	459
619	747	458
620	748	456
621	749	455
622	750	453
623	750	452
624	751	451
625	752	449
626	753	448
627	754	446
628	755	445
629	755	443
630	756	442
631	757	441
632	758	439
633	758	438
634	759	436
635	760	435
636	760	433
637	761	432
638	762	430
639	762	429
640	763	427
641	764	426
642	764	424
643	765	423
644	765	421
645	766	420
646	767	418
647	767	417
648	768	415
649	769	414
650	769	412
651	770	411
652	771	409
653	772	408
654	772	407
655	773	405
656	774	404
657	774	402
658	775	401
659	776	399
660	776	398
661	777	397
662	778	395
663	779	394
664	779	392
665	780	391
666	781	390
667	782	388
668	782	387
669	783	385
670	784	384
671	784	383
672	785	381
673	786	380
674	787	379
675	788	377
676	789	376
677	789	375
678	790	373
679	791	372
680	792	371
681	792	369
682	793	368
683	794	367
684	795	365
685	795	364
686	796	362
687	797	361
688	798	360
689	798	358
690	799	357
691	800	356
692	801	355
693	802	353
694	803	352
695	804	351
696	804	349
697	805	348
698	806	347
699	807	345
700	807	344
701	808	343
702	809	341
703	810	340
704	810	339
705	811	337
706	812	336
707	813	335
708	813	334
709	814	332
710	815	331
711	816	330
712	817	329
713	818	327
714	819	326
715	819	325
716	820	323
717	821	322
718	822	321
719	823	320
720	823	318
721	824	317
722	825	316
723	826	314
724	826	313
725	827	312
726	828	311
727	829	309
728	829	308
729	830	307
730	831	306
731	832	304
732	833	303
733	834	302
734	835	301
735	835	299
736	836	298
737	837	297
738	838	296
739	838	294
740	839	293
741	840	292
742	841	290
743	841	289
744	842	288
745	843	287
746	844	286
747	845	284
748	846	283
749	847	282
750	848	281
751	849	280
752	850	278
753	851	277
754	852	276
755	853	275
756	854	274
757	854	272
758	855	271
759	856	270
760	857	269
761	858	268
762	859	266
763	859	265
764	860	264
765	861	263
766	862	262
767	863	260
768	864	259
769	865	258
770	866	257
771	867	256
772	868	255
773	869	253
774	869	252
775	870	251
776	871	250
777	872	248
778	873	247
779	874	246
780	874	245
781	875	244
782	876	242
783	877	241
784	878	240
785	879	239
786	880	238
787	881	237
788	881	235
789	882	234
790	883	233
791	884	232
792	885	231
793	885	229
794	886	228
795	887	227
796	888	226
797	889	225
798	890	224
799	891	222
800	892	221
801	893	220
802	894	219
803	895	218
804	896	217
805	897	215
806	897	214
807	898	213
808	899	212
809	900	211
810	900	209
811	901	208
812	902	207
813	902	206
814	903	205
815	904	203
816	904	202
817	905	201
818	906	200
819	907	199
820	907	197
821	908	196
822	909	195
823	910	194
824	910	193
825	911	192
826	912	190
827	912	189
828	913	188
829	914	187
830	915	186
831	915	184
832	916	183
833	917	182
834	918	181
835	918	180
836	919	179
837	920	177
838	920	176
839	921	175
840	922	174
841	923	173
842	923	172
843	924	170
844	925	169
845	926	168
846	927	167
847	927	166
848	928	165
849	929	163
850	929	162
851	930	161
852	931	160
853	932	159
854	932	158
855	933	157
856	934	155
857	934	154
858	935	153
859	936	152
860	937	151
861	937	150
862	938	148
863	939	147
864	940	146
865	941	145
866	942	144
867	943	143
868	943	142
869	944	141
870	945	140
871	945	138
872	946	137
873	947	136
874	947	135
875	948	134
876	949	133
877	949	131
878	950	130
879	951	129
880	952	128
881	953	127
882	954	126
883	955	125
884	956	124
885	957	123
886	957	122
887	958	120
888	959	119
889	960	118
890	961	117
891	961	116
892	962	115
893	963	114
894	964	113
895	965	112
896	966	110
897	966	109
898	967	108
899	968	107
900	969	106
901	970	105
902	971	104
903	972	103
904	972	102
905	973	101
906	974	99
907	975	98
908	976	97
909	977	96
910	977	95
911	978	94
912	978	93
913	979	92
914	980	91
915	980	89
916	981	88
917	982	87
918	982	86
919	983	85
920	984	84
921	985	83
922	985	82
923	986	81
924	987	80
925	987	78
926	988	77
927	989	76
928	989	75
929	990	74
930	991	73
931	991	72
932	992	71
933	993	70
934	993	69
935	994	67
936	995	66
937	995	65
938	996	64
939	997	63
940	998	62
941	999	61
942	999	60
943	1000	59
944	1001	58
945	1002	57
946	1003	56
947	1004	55
948	1004	53
949	1005	52
950	1006	51
951	1007	50
952	1007	49
953	1008	48
954	1009	47
955	1010	46
956	1010	45
957	1011	44
958	1012	43
959	1013	42
960	1013	41
961	1014	40
962	1015	39
963	1016	37
964	1017	36
965	1018	35
966	1019	34
967	1019	33
968	1020	32
969	1021	31
970	1022	30
971	1022	29
972	1023	28
973	1024	27
974	1025	26
975	1026	25
976	1027	24
977	1027	23
978	1028	22
979	1029	21
980	1030	19
981	1031	18
982	1032	17
983	1032	16
984	1033	15
985	1034	14
986	1035	13
987	1035	12
988	1036	11
989	1037	10
990	1038	9
991	1039	8
992	1039	7
993	1040	6
994	1041	5
995	1042	4
996	1042	3
997	1043	2
998	1044	1
999	1045	0
